time_day_part,crime_type,crime_count
Morning,"RAPE, FORCIBLE",1
Night,"INTIMATE PARTNER - AGGRAVATED",3
Afternoon,"OTHER MISCELLANEOUS CRIME",7
Afternoon,"LETTERS, LEWD  -  TELEPHONE CA",8
Morning,"OTHER ASSAULT",3
Night,"INTIMATE PARTNER - SIMPLE ASSA",5
Afternoon,"BATTERY WITH SEXUAL CONTACT",7
Midnight,ROBBERY,12
Evening,"BRANDISH WEAPON",1
Morning,"THEFT OF IDENTITY",7
Morning,"INDECENT EXPOSURE",2
Night,"BRANDISH WEAPON",1
Evening,"THEFT FROM MOTOR VEHICLE - GRA",3
Evening,"VIOLATION OF TEMPORARY RESTRAI",1
Night,"OTHER MISCELLANEOUS CRIME",1
Evening,"BIKE - STOLEN",3
Afternoon,"BUNCO, PETTY THEFT",2
Night,ROBBERY,3
Evening,"KIDNAPPING - GRAND ATTEMPT",2
Morning,"INTIMATE PARTNER - AGGRAVATED",6
Afternoon,"SHOPLIFTING-GRAND THEFT ($950.",3
Night,"SHOPLIFTING - PETTY THEFT ($95",2
Afternoon,"BOMB SCARE",1
Afternoon,"RESISTING ARREST",1
Morning,"BRANDISH WEAPON",5
Night,"DISCHARGE FIREARMS/SHOTS FIRED",2
Morning,"DISCHARGE FIREARMS/SHOTS FIRED",1
Morning,"THEFT FROM MOTOR VEHICLE - PET",8
Evening,"VIOLATION OF COURT ORDER",1
Afternoon,"BATTERY POLICE (SIMPLE)",2
Morning,"LEWD CONDUCT",2
Night,"DEFRAUDING INNKEEPER/THEFT OF",2
Morning,"THEFT, PERSON",1
Morning,"SHOPLIFTING-GRAND THEFT ($950.",1
Evening,"PURSE SNATCHING",1
Midnight,"SODOMY/SEXUAL CONTACT B/W PENI",1
Evening,"VEHICLE - MOTORIZED SCOOTERS, ",1
Evening,"CHILD NEGLECT (SEE 300 W.I.C.)",1
Night,"BIKE - STOLEN",1
Morning,ARSON,1
Afternoon,"BUNCO, GRAND THEFT",3
Night,"OTHER ASSAULT",1
Evening,"LETTERS, LEWD  -  TELEPHONE CA",1
Night,"CRIMINAL THREATS - NO WEAPON D",1
Morning,"LETTERS, LEWD  -  TELEPHONE CA",2
Afternoon,"CONTEMPT OF COURT",2
Afternoon,"VIOLATION OF COURT ORDER",1
Morning,"DOCUMENT FORGERY / STOLEN FELO",2
Night,KIDNAPPING,2
Evening,"OTHER MISCELLANEOUS CRIME",5
Night,"VIOLATION OF RESTRAINING ORDER",1
Midnight,"EMBEZZLEMENT, GRAND THEFT ($95",1
Afternoon,"DOCUMENT FORGERY / STOLEN FELO",1
Afternoon,"OTHER ASSAULT",2
Midnight,"ATTEMPTED ROBBERY",1
Midnight,ARSON,1
Afternoon,"INDECENT EXPOSURE",2
Afternoon,"BUNCO, ATTEMPT",1
Morning,"BOMB SCARE",1
Afternoon,"PURSE SNATCHING",1
Morning,"BUNCO, PETTY THEFT",1
Midnight,"VIOLATION OF RESTRAINING ORDER",1
Night,BURGLARY,3
Midnight,"ORAL COPULATION",1
Afternoon,"INTIMATE PARTNER - AGGRAVATED",4
Morning,"THEFT PLAIN - ATTEMPT",1
Evening,"BATTERY POLICE (SIMPLE)",1
Midnight,"SHOTS FIRED AT INHABITED DWELL",1
Night,COUNTERFEIT,1
Midnight,"THEFT OF IDENTITY",2
Evening,ARSON,1
Morning,"CHILD ABUSE (PHYSICAL) - SIMPL",1
Night,"VIOLATION OF COURT ORDER",1
Afternoon,"HUMAN TRAFFICKING - COMMERCIAL",1
Afternoon,STALKING,1
Afternoon,"INTIMATE PARTNER - SIMPLE ASSA",1
Midnight,"BATTERY POLICE (SIMPLE)",1
Morning,"EMBEZZLEMENT, GRAND THEFT ($95",1
Afternoon,"LEWD CONDUCT",1
Afternoon,"BURGLARY, ATTEMPTED",1
